"claim_id","claim_text","prior_evidence","current_status","confidence","needs_refresh","followup_action"
"C01","System is more than a simple LLM generator: it combines official STOM backtest, generation, scoring, dashboard, CLI research, ML and V3K assets","prior report executive conclusion; docs/AGENT_HANDOFF.md architecture map","confirmed","high","no","Keep as platform-level finding"
"C02","The system is a strong research platform but not yet a reliable good-condition factory","prior report executive conclusion; docs/AGENT_HANDOFF.md section 4/6","confirmed","high","no","State plainly in final report"
"C03","Best operating model is human/reference seed -> conservative AI refinement -> official backtest -> multi-horizon validation -> human approval","prior report operating formula; current handoff ground truth","confirmed","high","no","Use as safe operating playbook"
"C04","Cold-start LLM invention is weaker than seed-and-refine","prior report; campaign logs; docs/AGENT_HANDOFF.md ground truth","confirmed","medium-high","partial","Quantify with campaign run comparisons when implementing promotion card"
"C05","Official STOM backtest engine is used rather than a toy simulator","prior report local evidence; ai_strategy_loop/controller/loop.py; backtest/backtest.py","confirmed","high","no","Keep engine unchanged"
"C06","Hard fitness gate uses frequency/MDD/profit and optional TPI; graded fitness gives search gradient","prior report; ai_strategy_loop/fitness/score.py; docs/AGENT_HANDOFF.md invariant","confirmed","high","no","Do not mutate compute_fitness; add only graded/advisory metrics"
"C07","Dashboard has run table, trends, backtest detail, reference/gallery, approval/export surface","prior report; live /ui Playwright body; app.py endpoints","confirmed","high","no","Add single promotion/rejection decision card later"
"C08","Prior runtime DB claim equity_points=0 is current","prior report runtime DB findings","stale","high","no","Replace with current count equity_points=1943"
"C09","Prior runtime DB claim prompts=4 is current","prior report runtime DB findings","stale","high","no","Replace with current count prompts=184"
"C10","Runtime evidence persistence is still insufficient for long-term learning","prior report; current DB has more prompts/equity but not necessarily all runs/toggles","needs-more-evidence","medium","yes","Require prompt/equity/hypothesis logging ON in research profiles"
"C11","Human reference target is 17 tick screenshots 09:00-09:30 with daily 10-23, holds 6-12, MDD roughly 1.9-6.75%","docs/AGENT_HANDOFF.md; docs/reference/STOM_Good_Results","confirmed","high","no","Use as benchmark profile"
"C12","Seed Tick_902 is a multiyear robust gold baseline","docs/AGENT_HANDOFF.md; runs seed3yr/ens_seed_2022-2025","confirmed","high","partial","Keep as benchmark; re-run if DB changes"
"C13","AI refine has not yet beaten seed under honest long-horizon/OOS evaluation","docs/AGENT_HANDOFF.md; comprehensive review; run history","confirmed","high","yes","Run toggles ON multiyear + 2022/2026 OOS"
"C14","TICK T0-T4 infrastructure now closes wide-generation -> analysis -> backfinder -> segment-feedback loop","docs/AGENT_HANDOFF.md; tick_program handoff","confirmed","high","no","Proceed to actual multiyear run"
"C15","TICK T0-T4 proves human-level/superior strategy performance","not claimed by handoff; only smoke evidence","unsupported","high","yes","Do not claim; validate with OOS first"
"C16","Edge ratio analysis shows entry edge can exist but sell/MAE/give-back remains bottleneck","prior report; /edge_ratio tickwide_t0b global edge_ratio 1.40, mae_efficiency 0.054","confirmed","medium-high","partial","Prioritize exit/MDD/give-back improvements"
"C17","T1 dashboard analysis can identify losing segments such as 상승 3-6% and weaker time/market-cap cells","/edge_ratio tickwide_t0b; tick handoff","confirmed","high","no","Feed to segment_feedback and verify reduction"
"C18","Segment feedback is implemented as prompt avoid guidance, default OFF","ai_strategy_loop/config.py; brain/segment_feedback.py; docs/AGENT_HANDOFF.md","confirmed","high","no","Enable only in research config"
"C19","Time-window measurement/no-op detection is implemented, default OFF","ai_strategy_loop/brain/filter_gate.py; config require_meaningful_time_window","confirmed","high","no","Use to prevent no-op time gates"
"C20","Backfinder principle mining is implemented and produced lift 8.99 but is lookahead-biased","docs/AGENT_HANDOFF.md; fitness/backfinder_principle.py","confirmed","high","yes","Use as seed generator only; OOS required"
"C21","V3K analyzers are available but must remain offline/advisory because gates are 3/6","AGENTS.md; docs/AGENT_HANDOFF.md","confirmed","high","no","Do not invoke live gate writers"
"C22","ML leakage controls are already complete enough for final promotion","prior report roadmap says not complete; current B_* discipline exists only as partial guard","needs-more-evidence","high","yes","Add purged/embargo, DSR/PBO, triple-barrier labels"
"C23","Dashboard final_approval/export boundary exists and can write production strategy DB if invoked","app.py final_approval; controller/export.py","confirmed","high","no","Do not invoke during review; require human approval"
"C24","Current dashboard is live and renders","curl /health; Playwright /ui status 200, body_len 13656, screenshot artifact","confirmed","high","no","Report console warning/404 cleanup separately"
"C25","External validation references should be refreshed","prior report used older Optuna/random docs/deepwiki links","confirmed","medium","no","Use Task 5 refreshed sources and labels"
"C26","System can automatically develop condition candidates approximating human style","T0-T4, few-shot seed_db, classification, filter gates, dashboard analysis","confirmed","medium","yes","Phrase as candidate-development capability, not profitability proof"
"C27","System can automatically develop superior profitable conditions today","requires multiyear OOS not done","unsupported","high","yes","Run the recommended B-stage research and OOS"
